tree,tree_id,forest,elev,plot,site,rep,plot_id,species,azm,dbh_in,live,year_dead,year_fall,wpb,dbh,height,dist,forest_code,elev_code
eldo_3k_1_1_2457,2457,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PILA,10,6.1,1,NA,NA,NA,15.494,11.2776,7.437119999999998,eldo,3k
eldo_3k_1_1_2458,2458,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,55,21.5,0,2016,NA,1,54.61,33.8328,7.0104,eldo,3k
eldo_3k_1_1_2459,2459,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,58,17.6,0,2016,NA,1,44.70400000000001,33.8328,6.156959999999999,eldo,3k
eldo_3k_1_1_2460,2460,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,84,17.9,0,2016,NA,1,45.465999999999994,31.6992,3.3223200000000004,eldo,3k
eldo_3k_1_1_2461,2461,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PILA,122,18.1,1,NA,NA,NA,45.974000000000004,30.7848,9.17448,eldo,3k
eldo_3k_1_1_2462,2462,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,140,20.6,0,2016,NA,1,52.324000000000005,34.7472,7.955280000000001,eldo,3k
eldo_3k_1_1_2463,2463,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,145,12.6,0,2016,NA,1,32.004,17.3736,8.503919999999999,eldo,3k
eldo_3k_1_1_2464,2464,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PILA,181,2.9,1,NA,NA,NA,7.366,4.2672,4.968240000000001,eldo,3k
eldo_3k_1_1_2465,2465,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,191,14.7,0,2016,NA,1,37.338,25.2984,5.425440000000001,eldo,3k
eldo_3k_1_1_2466,2466,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PSME,195,2.7,1,NA,NA,NA,6.8580000000000005,7.3152,11.24712,eldo,3k
eldo_3k_1_1_2467,2467,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,CADE,221,3.8,1,NA,NA,NA,9.652,4.8768,6.949440000000001,eldo,3k
eldo_3k_1_1_2468,2468,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,223,27.2,0,2016,NA,1,69.088,35.3568,8.32104,eldo,3k
eldo_3k_1_1_2469,2469,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,228,18.8,0,2016,NA,1,47.752,32.9184,6.096,eldo,3k
eldo_3k_1_1_2470,2470,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,CADE,288,5.5,1,NA,NA,NA,13.97,6.4008,8.9916,eldo,3k
eldo_3k_1_1_2471,2471,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PSME,310,5,1,NA,NA,NA,12.7,10.363199999999999,9.784080000000001,eldo,3k
eldo_3k_1_1_2472,2472,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PIPO,320,19.3,0,2016,NA,1,49.022000000000006,30.48,4.75488,eldo,3k
eldo_3k_1_1_2473,2473,eldorado,3000,eldo_3k_1_1,eldo_3k_1,1,1,PILA,349,10.4,1,NA,NA,NA,26.416,16.1544,10.75944,eldo,3k
eldo_3k_1_2_2474,2474,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PSME,8,4.3,1,NA,NA,NA,10.921999999999999,7.62,8.0772,eldo,3k
eldo_3k_1_2_2475,2475,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,19,19,0,2016,NA,1,48.26,31.6992,2.9260799999999993,eldo,3k
eldo_3k_1_2_2476,2476,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PSME,36,2.9,1,NA,NA,NA,7.366,5.7912,7.0104,eldo,3k
eldo_3k_1_2_2477,2477,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,105,9.2,1,NA,NA,NA,23.368,17.9832,7.1628,eldo,3k
eldo_3k_1_2_2478,2478,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,108,3.6,0,2014,2018,0,9.144,8.5344,8.74776,eldo,3k
eldo_3k_1_2_2479,2479,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,134,5.4,0,2014,NA,1,13.716000000000001,13.1064,8.65632,eldo,3k
eldo_3k_1_2_2480,2480,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PILA,158,10,1,NA,NA,NA,25.4,19.2024,5.30352,eldo,3k
eldo_3k_1_2_2481,2481,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PSME,164,3.2,1,NA,NA,NA,8.128,7.0104,8.74776,eldo,3k
eldo_3k_1_2_2482,2482,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,229,22.2,0,2016,NA,1,56.388,35.3568,10.45464,eldo,3k
eldo_3k_1_2_2483,2483,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,234,13.8,0,2016,NA,1,35.052,25.6032,6.27888,eldo,3k
eldo_3k_1_2_2484,2484,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,CADE,305,5.1,1,NA,NA,NA,12.953999999999999,6.7056000000000004,10.14984,eldo,3k
eldo_3k_1_2_2485,2485,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PIPO,330,28.9,0,2016,NA,1,73.40599999999999,37.7952,7.650480000000001,eldo,3k
eldo_3k_1_2_2487,2487,eldorado,3000,eldo_3k_1_2,eldo_3k_1,1,2,PSME,357,4.6,1,NA,NA,NA,11.684,8.8392,10.75944,eldo,3k
eldo_3k_1_3_2879,2879,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,37,18.9,0,2015,NA,1,48.006,27.7368,8.90016,eldo,3k
eldo_3k_1_3_2880,2880,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,77,14.1,0,2016,NA,1,35.814,25.908,3.718559999999999,eldo,3k
eldo_3k_1_3_2881,2881,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,86,13,0,2015,NA,1,33.02,26.2128,7.345680000000001,eldo,3k
eldo_3k_1_3_2882,2882,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,101,10.3,0,2016,NA,1,26.162000000000003,21.0312,8.382,eldo,3k
eldo_3k_1_3_2883,2883,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,117,10.7,0,2015,NA,1,27.177999999999997,22.86,5.69976,eldo,3k
eldo_3k_1_3_2884,2884,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,127,9.3,0,2015,NA,1,23.622000000000003,17.9832,9.784080000000001,eldo,3k
eldo_3k_1_3_2885,2885,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,132,13.9,0,2015,NA,1,35.306000000000004,21.6408,3.413759999999999,eldo,3k
eldo_3k_1_3_2886,2886,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,166,8.7,1,NA,NA,NA,22.098,15.8496,9.54024,eldo,3k
eldo_3k_1_3_2887,2887,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,192,17.7,0,2015,NA,1,44.958,27.127200000000002,7.437119999999998,eldo,3k
eldo_3k_1_3_2888,2888,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,242,18.4,0,2015,NA,1,46.736,28.3464,11.2776,eldo,3k
eldo_3k_1_3_2889,2889,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,272,11.5,0,2016,2018,1,29.21,22.2504,4.69392,eldo,3k
eldo_3k_1_3_2890,2890,eldorado,3000,eldo_3k_1_3,eldo_3k_1,1,3,PIPO,282,13.2,0,2016,NA,1,33.528,23.4696,7.62,eldo,3k
